title,price,rating,reviews,availability,brand,category,off,bought
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Silver","1,64,900.00",Previous page,,Only 2 left in stock.,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue","99,900.00",5.0 out of 5 stars,1 rating,In stock,Apple,Laptop,Not Available,Not Available
"HP 255 G10 AMD Ryzen 5 Quad Core 7520U 2.8Ghz Upto 4.3Ghz - (8 GB/512 GB SSD) 255 G10 Thin and Light Laptop (15.6 inch, Matt Silver, 1.45 kg)","29,928.00",3.1 out of 5 stars,19 ratings,In stock,HP,Laptop,-29%,100+ bought in past month
"Acer [Smartchoice Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","26,990.00",4.0 out of 5 stars,"1,121 ratings",In stock,acer,Laptop,-40%,300+ bought in past month
"ASUS Vivobook 16, Intel Core i5-12500H, 16GB RAM, 512GB SSD, FHD+ 60Hz 300Nits, 16"", Windows 11, MS Office Home, Transparent Silver, 1.88KG, X1605ZAC-MB541WS, Fingerprint, 42Whr Battery Laptop","53,590.00",4.0 out of 5 stars,94 ratings,In stock,ASUS,Laptop,-23%,500+ bought in past month
"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, NVIDIA Geforce RTX 3050, 16GB RAM, 512GB SSD, FHD 144Hz, 15.6"", Windows 11, Graphite Black, 2.3KG, FA506NCR-HN054W, 48WHR Gaming Laptop","67,990.00",3.9 out of 5 stars,478 ratings,In stock,ASUS,Laptop,-19%,500+ bought in past month
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam","16,990.00",3.5 out of 5 stars,"3,221 ratings",In stock,Chuwi,Laptop,-51%,100+ bought in past month
"Lenovo IdeaPad Slim 1 Intel® Celeron® N4020 15.6 inch (39.6cm) Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home & Student 2024/1Yr ADP Free/Cloud Grey/1.54Kg), 82V700L2IN","24,185.00",2.9 out of 5 stars,4 ratings,In stock,Lenovo,Laptop,-40%,300+ bought in past month
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN","44,990.00",4.0 out of 5 stars,94 ratings,In stock,Lenovo,Laptop,-55%,400+ bought in past month
"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue","19,990.00",2.9 out of 5 stars,21 ratings,In stock,acer,Laptop,-44%,50+ bought in past month
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 256GB) - Midnight","1,24,900.00",Previous page,,In stock,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Sky Blue","1,64,900.00",Previous page,,In stock,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Sky Blue","1,64,900.00",Previous page,,In stock,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 256GB) - Midnight","1,24,900.00",Previous page,,In stock,Apple,Laptop,Not Available,Not Available
"ASUS ROG Zephyrus G16, Gaming Laptop, Intel Core Ultra 9 185H, Built-in AI, NVIDIA GeForce RTX 4070,16"" 2.5K QHD+ (40.64cm) 240Hz (32GB/1TB SSD/Win 11/Office 2021/Grey/1.85 kg), GU605MI-QP253WS","2,09,990.00",2.5 out of 5 stars,4 ratings,Only 2 left in stock.,ASUS,Laptop,-17%,Not Available
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11/MS Office,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","25,990.00",2.6 out of 5 stars,9 ratings,In stock,Lenovo,Laptop,-74%,300+ bought in past month
"Acer ALG Intel Core i5-13th Gen 13420H Processor, NVIDIA GeForce RTX 3050-6GB DDR6(16 GB RAM/512GB SSD) FHD, 15.6""/39.62cm, 144Hz,Windows 11 Home, Steel Gray, 1.99kg, AL15G-53, Gaming Laptop","64,990.00",Previous page,,In stock,Acer,Laptop,-13%,Not Available
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) Grey","39,990.00",4.0 out of 5 stars,94 ratings,In stock,Lenovo,Laptop,-32%,300+ bought in past month
"HP Victus, 13th Gen Intel Core i7-13620H, 8GB NVIDIA RTX 4060, 16GB DDR4, 1TB SSD (Win11, Office21, Silver, 2.29kg), 144Hz, 9MS, IPS, 15.6-inch(39.6cm), FHD Gaming Laptop, Enhanced Cooling, fa1333TX","90,990.00",3.3 out of 5 stars,20 ratings,In stock,HP,Laptop,-28%,200+ bought in past month
"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue","19,990.00",2.9 out of 5 stars,21 ratings,In stock,acer,Laptop,-44%,50+ bought in past month
"HP Laptop 250R G9 (2024), Intel Core i3 13th Gen 1315U - (8GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" (39.62cm)/Ash Grey/1.57 kg","31,250.00",4.1 out of 5 stars,7 ratings,In stock,HP,Laptop,-43%,200+ bought in past month
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam","16,990.00",3.5 out of 5 stars,"3,221 ratings",In stock,Chuwi,Laptop,-51%,100+ bought in past month
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Silver","1,64,900.00",Previous page,,Only 2 left in stock.,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Midnight","99,900.00",3.0 out of 5 stars,2 ratings,In stock,Apple,Laptop,Not Available,Not Available
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg) Anti-glare, Micro-edge, 15.6-inch(39.6cm) FHD laptop, Intel UHD Graphics, HD camera, Backlit KB, fq5327tu","38,490.00",4.0 out of 5 stars,"1,223 ratings",In stock,HP,Laptop,-25%,200+ bought in past month
"HP 15, AMD Ryzen 3 7320U, 8GB LPDDR5, 512GB SSD, Anti-Glare, Micro-Edge, 15.6-inch (39.6 cm), FHD, AMD Radeon Graphics, 1080p HD Camera, (Win 11, Silver, 1.59 kg), fc0154AU","30,990.00",4.0 out of 5 stars,"1,507 ratings",In stock,HP,Laptop,-33%,300+ bought in past month
"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, NVIDIA Geforce RTX 3050, 16GB RAM, 512GB SSD, FHD 144Hz, 15.6"", Windows 11, Graphite Black, 2.3KG, FA506NCR-HN054W, 48WHR Gaming Laptop","67,990.00",3.9 out of 5 stars,478 ratings,In stock,ASUS,Laptop,-19%,500+ bought in past month
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN","21,880.00",3.8 out of 5 stars,461 ratings,In stock,Lenovo,Laptop,-72%,200+ bought in past month
"Lenovo V15 Intel Core i7 12th Gen 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Iron Grey/1Y Onsite/1.7 kg), 82TTA08AIN","48,490.00",3.4 out of 5 stars,12 ratings,In stock,Lenovo,Laptop,-46%,100+ bought in past month
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15.6"" (39.62cm) FHDIPS300 Nits Thin&Light Laptop (16GB/512GB SSD/Intel UHDGraphics/Win11/Office Home 2024/1YrADP Free/ARCTIC-Grey/1.6Kg), 83EM00GTIN","66,690.00",4.0 out of 5 stars,827 ratings,In stock,Lenovo,Laptop,-23%,400+ bought in past month
"Acer Aspire Lite Intel Core i5-12450H Processor Premium Laptop (Windows 11 Home/16 GB RAM/1 TB SSD/54WHr) AL15-52H with 39.6cm (15.6"") FHD Display, 1.7 KG","53,990.00",Previous page,,In stock,Acer,Laptop,-23%,Not Available
"HP 255 G9 Ryzen 3 Dual Core AMD Ryzen™ 3 Processor 3250U - (8 GB/512 GB SSD/AMD Radeon Graphics) 9H237PT Thin and Light Laptop (15.6 inch, Black, 1.47 kg)","23,990.00",2.4 out of 5 stars,7 ratings,In stock,HP,Laptop,-26%,100+ bought in past month
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Starlight","1,64,900.00",Previous page,,In stock,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Starlight","99,900.00",Previous page,,In stock,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue","99,900.00",5.0 out of 5 stars,1 rating,In stock,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Silver","1,64,900.00",Previous page,,Only 2 left in stock.,Apple,Laptop,Not Available,Not Available
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg) Anti-glare, Micro-edge, 15.6-inch(39.6cm) FHD laptop, Intel UHD Graphics, HD camera, Backlit KB, fq5327tu","38,490.00",4.0 out of 5 stars,"1,223 ratings",In stock,HP,Laptop,-25%,200+ bought in past month
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Grey, 1.59kg), Anti-Glare, Micro-Edge,15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0006TU","38,490.00",4.1 out of 5 stars,"1,939 ratings",In stock,HP,Laptop,-26%,300+ bought in past month
"HP Victus, 13th Gen Intel Core i7-13620H, 8GB NVIDIA RTX 4060, 16GB DDR4, 1TB SSD (Win11, Office21, Silver, 2.29kg), 144Hz, 9MS, IPS, 15.6-inch(39.6cm), FHD Gaming Laptop, Enhanced Cooling, fa1333TX","90,990.00",3.3 out of 5 stars,20 ratings,In stock,HP,Laptop,-28%,200+ bought in past month
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, MS Office 2021, Mixed Black, 1.63KG, E1504FA-NJ542WS, Alexa Built-in, Thin & Light Laptop","41,990.00",3.9 out of 5 stars,144 ratings,In stock,ASUS,Laptop,-31%,300+ bought in past month
"Acer Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","28,990.00",4.0 out of 5 stars,"1,121 ratings",In stock,acer,Laptop,-42%,100+ bought in past month
"Acer Aspire Lite Intel Core i5-12450H Processor Premium Laptop (Windows 11 Home/16 GB RAM/1 TB SSD/54WHr) AL15-52H with 39.6cm (15.6"") FHD Display, 1.7 KG","53,990.00",Previous page,,In stock,Acer,Laptop,-23%,Not Available
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, 8GB RAM, 512GB SSD, FHD, 14""/35.56cm, Windows 11, Office 2021, Black, 1.38KG, E1404FA-NK325WS, 42WHr, Thin and Light Laptop","33,990.00",4.0 out of 5 stars,106 ratings,In stock,ASUS,Laptop,-33%,200+ bought in past month
AIR EDU11ONE Notebook/Laptop Intel N4020 4 GB RAM 128 GB SSD with Windows 11 RED,"15,490.00",5.0 out of 5 stars,3 ratings,In stock,Ewbob,Laptop,-61%,Not Available
"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8‑core CPU and 8‑core GPU, 16GB Unified Memory, 256GB) - Space Gray","1,06,990.00",5.0 out of 5 stars,6 ratings,In stock,Apple,Laptop,-7%,Not Available
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Sky Blue","1,44,900.00",5.0 out of 5 stars,1 rating,In stock,Apple,Laptop,Not Available,Not Available
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15.6"" (39.62cm) FHDIPS300 Nits Thin&Light Laptop (16GB/512GB SSD/Intel UHDGraphics/Win11/Office Home 2024/1YrADP Free/ARCTIC-Grey/1.6Kg), 83EM00GTIN","66,690.00",4.0 out of 5 stars,827 ratings,In stock,Lenovo,Laptop,-23%,400+ bought in past month
"Walker Thin & Light Laptop,14.1""(4GB RAM,128GB SSD)| FHD IPS Display 1920 * 1080 Resolution | Celeron Processor N4020 (Gemini Lake)| UHD Graphics 600|Webcam | Windows 11 Home | Champagne Gold","12,990.00",3.5 out of 5 stars,101 ratings,In stock,Walker,Laptop,-57%,50+ bought in past month
"Lenovo V15 G4 (2024), AMD Ryzen 3 7320U Quad Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" FHD Display/Arctic Grey/1.57 kg/MS Office 2021","27,990.00",3.8 out of 5 stars,26 ratings,In stock,Lenovo,Laptop,-72%,100+ bought in past month
"Dell Inspiron 5630 13th Gen Laptop, Intel Core i5-1340P Processor/16Gb LPDDR5/512GB /16.0"" (40.64cm) FHD+ WVA AG 250 nits/Backlit KB + FPR/Windows 11+ MSO'21/McAfee 15 Months/Platinum Silver/1.85kg","64,790.00",4.6 out of 5 stars,8 ratings,In stock,Dell,Laptop,-29%,Not Available
HP 14s Core i3 12th Gen (8GB RAM/512GB SSD/FHD/14 (35.6 cm)/ Windows 11/ MS Office 21/Backlit Keyboard/Silver/1.46kg) dq5138TU Laptop,"37,999.00",4.1 out of 5 stars,"1,214 ratings",In stock,HP,Laptop,-26%,50+ bought in past month
"Samsung Galaxy Book4 (Silver, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 5 120U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","54,990.00",3.9 out of 5 stars,4 ratings,In stock,Samsung,Laptop,-40%,50+ bought in past month
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN","39,490.00",4.0 out of 5 stars,268 ratings,In stock,Lenovo,Laptop,-32%,500+ bought in past month
"Dell [Smartchoice] Windows 11 Home 3520 Laptop, Intel Core i3-1215U, 12Th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /15 Month Mcafee /Black /1.69Kg Thin & Light","34,990.00",3.7 out of 5 stars,792 ratings,In stock,Dell,Laptop,-29%,200+ bought in past month
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Silver","99,900.00",4.2 out of 5 stars,4 ratings,Only 1 left in stock.,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Midnight","99,900.00",3.0 out of 5 stars,2 ratings,In stock,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 256GB) - Midnight","1,24,900.00",Previous page,,In stock,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Starlight","1,64,900.00",Previous page,,In stock,Apple,Laptop,Not Available,Not Available
"Acer Predator Helios Neo 16 Gaming Laptop Intel Core i7-14700HX Processor, RTX 4050-6GB GDDR6, WUXGA Display, 400 nits, 165Hz Refresh Rate (Win 11 Home/16 GB/1 TB SSD) - PHN16-72 with 40.64 cm (16"")","1,14,990.00",4.2 out of 5 stars,68 ratings,In stock,acer,Laptop,-30%,Not Available
"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, MS Office 2021, Mixed Black, 1.63KG, E1504FA-NJ542WS, Alexa Built-in, Thin & Light Laptop","41,990.00",3.9 out of 5 stars,144 ratings,In stock,ASUS,Laptop,-31%,300+ bought in past month
"Samsung Galaxy Book4 (Silver, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 5 120U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","54,990.00",3.9 out of 5 stars,4 ratings,In stock,Samsung,Laptop,-40%,50+ bought in past month
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Grey, 1.59kg), Anti-Glare, Micro-Edge,15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0006TU","38,490.00",4.1 out of 5 stars,"1,939 ratings",In stock,HP,Laptop,-26%,300+ bought in past month
AIR EDU11ONE Notebook/Laptop Intel N4020 4 GB RAM 128 GB SSD with Windows 11 RED,"15,490.00",5.0 out of 5 stars,3 ratings,In stock,Ewbob,Laptop,-61%,Not Available
"HP Spectre x360 AI Laptop, Intel Ultra 7 155H, 12 TOPS, 32GB DDR5, 2TB SSD, (Win 11, Office 21, Black, 2kg), Touchscreen, 2.8K, OLED, 16-inch(40.6cm), Intel Arc graphics, 9MP camera, Backlit, aa0665TU","1,87,990.00",4.2 out of 5 stars,9 ratings,In stock,HP,Laptop,-11%,Not Available
"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX","61,990.00",4.1 out of 5 stars,235 ratings,In stock,HP,Laptop,-15%,300+ bought in past month
"FUTOPIA Ultimus PRO Intel Dual Core ~2.4GHz (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3CNC43BN-MB Thin and Light Laptop (14 Inch, Gray, 1.2 kg)","12,990.00",3.7 out of 5 stars,29 ratings,In stock,FUTOPIA,Laptop,-48%,Not Available
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Silver","1,64,900.00",Previous page,,In stock,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Midnight","99,900.00",3.0 out of 5 stars,2 ratings,In stock,Apple,Laptop,Not Available,Not Available
STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),249,4.3 out of 5 stars,"38,633 ratings",In stock,STRIFF,Laptop,-83%,5K+ bought in past month
"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14‑core CPU and 20‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 24GB Unified Memory, 1TB SSD Storage; Silver","2,29,990.00",3.0 out of 5 stars,3 ratings,In stock,Apple,Laptop,-4%,Not Available
Lenovo V15 Intel Celeron n4500 FHD 15.6 inch Laptop / 8GB DDR4 Ram and 256GB NVME SSD/Intel UHD Graphics/Windows 11 & MS-Office/Privacy Shutter/Black / 1.6kg / 1 Year Brand Warranty,"22,740.00",4.4 out of 5 stars,4 ratings,In stock,Lenovo,Laptop,-75%,Not Available
"Lenovo LOQ 2024, Intel Core i7-13650HX, 13th Gen, NVIDIA RTX 4060-8GB, 24GB RAM, 512GB SSD, FHD 144Hz, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83DV00LXIN, 1Yr ADP Free Gaming Laptop","1,00,190.00",3.7 out of 5 stars,41 ratings,In stock,Lenovo,Laptop,-28%,50+ bought in past month
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN","39,490.00",4.0 out of 5 stars,268 ratings,In stock,Lenovo,Laptop,-32%,500+ bought in past month
Lenovo IdeaPad 3 14 Inch FHD Laptop (12th Gen Intel Core i3-1215U/8GB/512GB SSD/Win 11/Office 2021/Backlit KB/1Yr ADP Free/3months Game Pass/Arctic Grey/1.43Kg),"28,891.00",Previous page,,Only 1 left in stock.,Lenovo,Laptop,Not Available,Not Available
"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 12‑core CPU and 16‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black","1,91,990.00",5.0 out of 5 stars,5 ratings,In stock,Apple,Laptop,-4%,50+ bought in past month
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","24,990.00",3.9 out of 5 stars,133 ratings,In stock,Lenovo,Laptop,-34%,50+ bought in past month
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Starlight","99,900.00",Previous page,,In stock,Apple,Laptop,Not Available,Not Available
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Silver","99,900.00",4.2 out of 5 stars,4 ratings,Only 1 left in stock.,Apple,Laptop,Not Available,Not Available
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","56,790.00",4.1 out of 5 stars,51 ratings,In stock,Apple,SmartPhone,-5%,500+ bought in past month
Apple iPhone 15 (128 GB) - Black,"61,400.00",4.5 out of 5 stars,"3,253 ratings",In stock,Apple,SmartPhone,-23%,5K+ bought in past month
"Nothing Phone (2a) 5G (Black, 8GB RAM, 128GB Storage) | 6.7"" AMOLED Display | 50MP (OIS) + 50 MP | 32 MP Front | Mediatek Dimensity 7200 Pro Processor | Glyph Interface | 45 W Charging 100% in 59 mins","19,489.00",4.2 out of 5 stars,215 ratings,In stock,Nothing,SmartPhone,-25%,2K+ bought in past month
CMF BY NOTHING Phone 1 5G (128 GB) (8 GB RAM) (Black),"15,499.00",4.1 out of 5 stars,179 ratings,In stock,CMF BY NOTHING,SmartPhone,-30%,1K+ bought in past month
"Samsung Galaxy M35 5G (Daybreak Blue,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","16,998.00",4.1 out of 5 stars,"8,097 ratings",In stock,Samsung,SmartPhone,-31%,5K+ bought in past month
